epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
4,4,30,-1.3331115,1.0101781,1.34668
4,4,31,-1.2800332,0.737403,1.0240266
4,4,32,-0.5736147,0.77755326,0.45889178
4,4,33,-0.8761264,0.71700937,0.70090115
4,4,34,-0.80994326,0.80465364,0.6517238
4,4,35,-0.7652169,0.6023716,0.6121735
4,4,36,-1.1565075,0.714024,0.925206
4,4,37,-0.28534284,0.93851936,0.2677998
4,4,38,-0.6099179,0.82752633,0.50472313
4,4,39,-0.6671843,0.79559016,0.53374743
5,5,0,-0.82706994,1.1757882,0.972459
5,5,1,0.56981665,1.7410231,-0.68378
5,5,2,0.061672483,1.0530591,-0.06494477
5,5,3,0.549717,1.2735064,-0.65966046
5,5,4,0.19691488,0.4554895,-0.08969266
5,5,5,-0.24249636,0.8266338,0.20045568
5,5,6,-0.017850108,0.863675,0.015416692
5,5,7,0.55623394,1.3547895,-0.66748077
5,5,8,0.030536365,1.5383373,-0.03664364
5,5,9,-0.75740165,0.906902,0.68688905
5,5,10,-0.8000814,0.9563592,0.7651652
5,5,11,-0.9801308,0.85208786,0.8351576
5,5,12,-0.91240656,1.3128816,1.1978818
5,5,13,-2.086079,0.80222857,1.6735121
5,5,14,-1.9608577,0.7906601,1.5686862
5,5,15,-2.1335552,0.80048305,1.7078748
5,5,16,-1.0165524,0.984792,1.0010927
5,5,17,-1.3745993,0.63042873,1.0996795
5,5,18,-1.4112521,0.97167194,1.3712741
5,5,19,0.016007174,0.87658846,-0.014031704
5,5,20,0.6919826,1.2434005,-0.8303792
5,5,21,1.2327951,1.4292163,-1.4793541
5,5,22,1.2864633,1.2328324,-1.543756
5,5,23,0.65143454,1.575793,-0.7817215
5,5,24,1.3130676,1.1674606,-1.5329546
5,5,25,0.8172159,0.7079474,-0.57854587
5,5,26,0.7681136,1.104515,-0.84839296
5,5,27,1.1233089,1.3721496,-1.3479707
5,5,28,1.0893921,0.99541384,-1.0843959
5,5,29,1.2314818,1.1785711,-1.4513888
5,5,30,0.97707367,1.1517341,-1.125329
5,5,31,0.7295818,1.0155267,-0.74090976
5,5,32,0.4117212,1.030215,-0.42416137
5,5,33,-0.763991,1.0251483,0.7832041
5,5,34,-1.2818147,0.71248263,1.0254518
5,5,35,-0.22658063,0.761493,0.1812645
5,5,36,0.75685847,1.2116793,-0.9082302
5,5,37,0.5039224,1.3874413,-0.6047069
5,5,38,0.79656583,1.2217416,-0.95587903
5,5,39,0.43083882,1.107947,-0.47734657
6,6,0,-2.1244662,0.79680353,1.6995729
6,6,1,-2.1918938,0.806183,1.7670674
6,6,2,-2.0101147,0.70420814,1.6080917
6,6,3,-2.2175903,0.5337577,1.7740723
6,6,4,-1.7904183,0.78782326,1.4323347
6,6,5,-1.3660423,0.7802021,1.0928339
6,6,6,-1.16466,1.0201731,1.1881547
6,6,7,-1.0034553,0.592277,0.80276424
6,6,8,-0.36152682,1.1124719,0.40218845
6,6,9,-0.2673507,1.112123,0.29732686
6,6,10,-0.56067884,0.91525334,0.5131632
6,6,11,-0.2836804,0.7630029,0.22694433
6,6,12,-0.11218229,1.1231642,0.12599912
6,6,13,-0.08616434,0.8311279,0.07161359
6,6,14,0.1257047,0.9943749,-0.1249976
6,6,15,0.08193912,1.0898625,-0.089302376
6,6,16,-0.117000766,0.93331176,0.10919819
6,6,17,0.012341864,0.8819298,-0.010884658
6,6,18,0.14589496,0.95573217,-0.13943651
6,6,19,0.17872997,1.1044172,-0.19739245
6,6,20,0.8256782,0.72323,-0.5971553
6,6,21,0.5632667,1.0324523,-0.581546
6,6,22,0.7720847,1.1180228,-0.8632083
6,6,23,1.091217,0.9909796,-1.0813738
6,6,24,0.61908144,1.2035667,-0.74289775
6,6,25,0.75373894,1.0597177,-0.79875046
6,6,26,0.33604616,1.2086796,-0.4032554
6,6,27,0.86915094,1.1900973,-1.0343742
6,6,28,1.1148388,1.1990408,-1.3367373
6,6,29,1.036849,1.054757,-1.0936238
6,6,30,1.0570406,1.2360122,-1.2684487
6,6,31,1.1713889,1.182081,-1.3846765
6,6,32,0.88240886,1.1032025,-0.97347564
6,6,33,0.680872,0.99443936,-0.67708594
6,6,34,0.530037,0.8257293,-0.43766707
6,6,35,0.3439293,0.970217,-0.33368605
6,6,36,0.6684992,1.6835257,-0.80219907
6,6,37,0.5404661,0.9833451,-0.5314647
6,6,38,0.62246263,1.1849151,-0.73756534
6,6,39,0.6335574,1.1695389,-0.74096996
7,7,0,-6.16641,0.75405353,4.933128
7,7,1,0.16063844,0.99148345,-0.15927035
7,7,2,0.160333,0.7720127,-0.12377911
7,7,3,0.16002446,1.0331627,-0.1653313
7,7,4,0.15971282,0.90093946,-0.14389159
7,7,5,0.159398,0.80942744,-0.12902112
7,7,6,0.15908004,0.95803815,-0.15240476
7,7,7,0.15875885,0.9296226,-0.14758581
7,7,8,0.15843442,0.8581679,-0.13596334
7,7,9,0.15810671,0.95997936,-0.15177917
7,7,10,0.15777569,0.8090007,-0.12764063
7,7,11,0.15744133,1.1809874,-0.18593623
7,7,12,0.15710358,0.971061,-0.15255716
7,7,13,0.15676244,1.1745923,-0.18413195
7,7,14,0.15641783,0.9648751,-0.15092367
7,7,15,0.15606977,1.0742782,-0.16766235
7,7,16,0.15571816,1.1403701,-0.17757635
7,7,17,0.15536302,0.96119684,-0.14933445
7,7,18,0.1550043,0.92765033,-0.14378978
7,7,19,0.15464193,1.0837613,-0.16759494
7,7,20,0.15427591,0.9672369,-0.14922135
7,7,21,0.1539062,0.9643094,-0.1484132
7,7,22,0.15353274,1.093536,-0.16789359
7,7,23,0.15315554,0.96665406,-0.14804842
7,7,24,0.1527745,0.8738315,-0.13349918
7,7,25,0.15238962,1.125117,-0.17145614
7,7,26,0.15200086,0.85143596,-0.129419
7,7,27,0.16031317,0.988788,-0.15851575
7,7,28,0.16048016,1.0602144,-0.17014337
7,7,29,0.16064884,1.1043575,-0.17741375
7,7,30,0.16081919,0.89268875,-0.14356148
7,7,31,0.1609913,0.9210547,-0.1482818
7,7,32,0.1611651,1.3228513,-0.19339813
7,7,33,0.1613407,0.8993115,-0.14509554
7,7,34,0.16151805,1.0489709,-0.16942774
7,7,35,0.16169721,1.149734,-0.18590878
7,7,36,0.16187815,0.74826825,-0.12112828
7,7,37,0.16206095,1.3923397,-0.19447315
7,7,38,0.16224559,1.1803,-0.19149846
7,7,39,0.16243209,0.89851636,-0.14594789
8,8,0,-1.5434246,0.71548885,1.2347397
8,8,1,-0.034685135,0.8209471,0.02847466
8,8,2,-1.1465954,0.79722387,0.9172763
8,8,3,0.93573576,0.8769476,-0.8205912
8,8,4,2.1350415,1.5772228,-2.5620499
8,8,5,1.5006521,1.2072729,-1.8007826
8,8,6,0.45117578,0.9477774,-0.4276142
8,8,7,-0.48550153,0.8010115,0.38889232
8,8,8,-0.4053315,0.80177575,0.32498497
8,8,9,0.67875844,1.0165176,-0.68996996
