epoch,update_batch_id,spo_max_term_val_mean,spo_term_2_r_hat_w_star_c_mean,spo_term_r_true_w_star_c_mean,total_spo_plus_loss
77,77,2.492441415786743,-1.927044153213501,0.0,0.565397322177887
78,78,2.3814404010772705,-1.9569623470306396,0.0,0.42447787523269653
79,79,2.4042646884918213,-1.8930991888046265,0.0,0.5111656188964844
80,80,5.3531389236450195,-4.085623741149902,0.0,1.267514944076538
81,81,2.466508388519287,-2.233153820037842,0.0,0.23335471749305725
82,82,2.1798720359802246,-1.927191138267517,0.0,0.2526809275150299
83,83,2.818796157836914,-2.6043753623962402,0.0,0.2144203931093216
84,84,2.4430642127990723,-2.0215158462524414,0.0,0.42154890298843384
85,85,2.0419743061065674,-1.7230579853057861,0.0,0.31891629099845886
86,86,2.572636604309082,-2.1741394996643066,0.0,0.3984972834587097
87,87,2.113248586654663,-1.8990558385849,0.0,0.21419298648834229
88,88,2.1840434074401855,-1.7107841968536377,0.0,0.473259299993515
