Price,Close,High,Low,Open,Volume
Ticker,SHV,SHV,SHV,SHV,SHV
Date,,,,,
2023-06-05,100.17163848876953,100.18073917149113,100.1625308589619,100.17163848876953,2258200
2023-06-06,100.18983459472656,100.20804985212258,100.18983459472656,100.19894222342457,2077100
2023-06-07,100.20806121826172,100.22626953063782,100.20806121826172,100.22626953063782,1587700
2023-06-08,100.27179718017578,100.27179718017578,100.25358192135894,100.26268955076736,2594000
2023-06-09,100.27179718017578,100.28089786249846,100.26268955076736,100.27179718017578,3590300
2023-06-12,100.2900161743164,100.2900161743164,100.27180786064585,100.28090854393788,2289000
2023-06-13,100.30824279785156,100.31734348217452,100.29002753503113,100.29913516644135,2552400
2023-06-14,100.31730651855469,100.32641414660904,100.31730651855469,100.32641414660904,1831700
2023-06-15,100.39016723632812,100.39016723632812,100.37195892483967,100.38105960704108,3645600
2023-06-16,100.39926147460938,100.39926147460938,100.39015384653709,100.39926147460938,3496200
2023-06-20,100.39926147460938,100.41746978366925,100.39926147460938,100.41746978366925,2003600
2023-06-21,100.40835571289062,100.41746334037853,100.40835571289062,100.40835571289062,2147100
2023-06-22,100.44479370117188,100.45390132996778,100.44479370117188,100.45390132996778,2202400
2023-06-23,100.45391082763672,100.4721191398648,100.45391082763672,100.45391082763672,2325300
2023-06-26,100.47211456298828,100.4812221922304,100.47211456298828,100.47211456298828,2518900
2023-06-27,100.49034118652344,100.49034118652344,100.48123355625128,100.48123355625128,2218500
2023-06-28,100.49944305419922,100.50854373686313,100.49033542444928,100.49033542444928,4559800
2023-06-29,100.51764678955078,100.5358620482212,100.51764678955078,100.52675441888599,2981600
2023-06-30,100.57228088378906,100.57228088378906,100.55407257180377,100.55407257180377,4592700
2023-07-03,100.56498718261719,100.57412360141852,100.56498718261719,100.56498718261719,3995900
2023-07-05,100.58324432373047,100.59238771483645,100.58324432373047,100.58324432373047,4003500
2023-07-06,100.63809967041016,100.63809967041016,100.6198198609367,100.6198198609367,2023100
2023-07-07,100.63809967041016,100.65638645424816,100.63809967041016,100.65638645424816,2537000
2023-07-10,100.65638732910156,100.66553072110004,100.6472439371031,100.65638732910156,4577000
2023-07-11,100.65638732910156,100.67466713873391,100.65638732910156,100.66553072110004,2289500
2023-07-12,100.6838150024414,100.69295839484596,100.6838150024414,100.69295839484596,3731400
2023-07-13,100.7386474609375,100.74779085207616,100.72951104416278,100.7386474609375,2262000
2023-07-14,100.747802734375,100.75694612659204,100.73865934215794,100.747802734375,5841200
2023-07-17,100.7569351196289,100.76607851084711,100.7569351196289,100.76607851084711,2055100
2023-07-18,100.76609802246094,100.78437783407288,100.76609802246094,100.77523444108424,4510800
2023-07-19,100.78437042236328,100.79351381467953,100.78437042236328,100.79351381467953,2542500
2023-07-20,100.830078125,100.830078125,100.82093473289092,100.82093473289092,1943200
2023-07-21,100.8392105102539,100.84835390199734,100.8392105102539,100.8392105102539,1897600
2023-07-24,100.84835052490234,100.8574939163396,100.84835052490234,100.8574939163396,2149200
2023-07-25,100.85749816894531,100.86663458640362,100.85749816894531,100.86663458640362,1580300
2023-07-26,100.87578582763672,100.88492922017097,100.86664243510246,100.87578582763672,1419400
2023-07-27,100.91236114501953,100.93064793166853,100.91236114501953,100.93064793166853,2167500
2023-07-28,100.93975830078125,100.93975830078125,100.93062188418024,100.93975830078125,1572900
2023-07-31,100.95804595947266,100.95804595947266,100.94890256842842,100.94890256842842,2373400
2023-08-01,100.97366333007812,100.97366333007812,100.96448811425849,100.97366333007812,3038700
2023-08-02,100.99203491210938,100.99203491210938,100.97367047120822,100.98285269165879,2793000
2023-08-03,101.02874755859375,101.03792277422392,101.01956533898219,101.02874755859375,2999700
2023-08-04,101.05626678466797,101.05626678466797,101.04708456691262,101.05626678466797,2447300
2023-08-07,101.05626678466797,101.06544199844335,101.05626678466797,101.06544199844335,1724600
2023-08-08,101.07463836669922,101.0838205857401,101.06545614765835,101.0838205857401,1641400
2023-08-09,101.08380889892578,101.10216633090417,101.08380889892578,101.10216633090417,2524700
2023-08-10,101.1297378540039,101.13891307025933,101.1297378540039,101.13891307025933,1625600
2023-08-11,101.14807891845703,101.14807891845703,101.13889669970598,101.14807891845703,1362100
2023-08-14,101.16642761230469,101.16642761230469,101.15725239832702,101.15725239832702,1544100
2023-08-15,101.18479919433594,101.18479919433594,101.16643475712335,101.18479919433594,1889300
2023-08-16,101.19401550292969,101.19401550292969,101.18483328123011,101.18483328123011,2351500
2023-08-17,101.2398910522461,101.2398910522461,101.23070883250116,101.2398910522461,2526700
2023-08-18,101.24906921386719,101.25825143324408,101.23988699449028,101.25825143324408,1847400
2023-08-21,101.25823974609375,101.26741496043043,101.25823974609375,101.26741496043043,2102900
2023-08-22,101.27660369873047,101.27660369873047,101.26742147982223,101.27660369873047,1374200
2023-08-23,101.29496765136719,101.29496765136719,101.28579243584934,101.28579243584934,3148900
2023-08-24,101.34088134765625,101.34088134765625,101.32252391089976,101.32252391089976,1804700
2023-08-25,101.34088134765625,101.35006356802548,101.33169912728702,101.35006356802548,1789200
2023-08-28,101.35004425048828,101.35922646910736,101.35004425048828,101.35004425048828,1200700
2023-08-29,101.3775863647461,101.3775863647461,101.35922893104268,101.36840414590398,2058300
2023-08-30,101.38676452636719,101.39593974086132,101.37758230789252,101.38676452636719,1821500
2023-08-31,101.44185638427734,101.45103860388845,101.43267416466624,101.43267416466624,2688100
2023-09-01,101.4704360961914,101.4704360961914,101.46121540819274,101.4704360961914,4624700
2023-09-05,101.4704360961914,101.48887043886457,101.4704360961914,101.48887043886457,2863100
2023-09-06,101.48888397216797,101.49810466139618,101.48888397216797,101.49810466139618,2136900
2023-09-07,101.54417419433594,101.54417419433594,101.52573282076114,101.53495350754854,2119400
2023-09-08,101.55341339111328,101.56262704625678,101.54419270264523,101.55341339111328,3441500
2023-09-11,101.57183074951172,101.58105143643785,101.56261006258559,101.57183074951172,3088500
2023-09-12,101.58106231689453,101.59027597148419,101.57184162898076,101.58106231689453,2338300
2023-09-13,101.5995101928711,101.5995101928711,101.5902895037291,101.5995101928711,1776400
2023-09-14,101.64558410644531,101.64558410644531,101.63636341934428,101.63636341934428,2391700
2023-09-15,101.65477752685547,101.66399821212123,101.64556387491182,101.66399821212123,2478100
2023-09-18,101.67324829101562,101.67324829101562,101.66402760308418,101.67324829101562,2617600
2023-09-19,101.67324829101562,101.6916826335544,101.67324829101562,101.6916826335544,1920100
2023-09-20,101.69168853759766,101.70090922606444,101.68247488245541,101.70090922606444,1742000
