Price,Close,High,Low,Open,Volume
Ticker,XLRE,XLRE,XLRE,XLRE,XLRE
Date,,,,,
2018-03-22,24.115734100341797,24.115734100341797,24.486746367064303,24.092053491408077,24.17099236766609,5319800
2018-03-23,23.73682975769043,23.73682975769043,24.186779403692814,23.673678956595953,24.155204755962508,6203100
2018-03-26,24.060482025146484,24.060482025146484,24.103898490826733,23.784196657245563,23.9341804007862,4544100
2018-03-27,24.099946975708008,24.099946975708008,24.439381576238713,23.831555705979508,24.068370823676986,6480500
2018-03-28,24.542001724243164,24.542001724243164,24.632780899772843,24.178883516490696,24.178883516490696,7058300
2018-03-29,24.534101486206055,24.534101486206055,24.652509011075672,24.443322333618237,24.620934373739345,4264100
2018-04-02,24.23413848876953,24.23413848876953,24.620937251559074,24.060472693404016,24.56568050053679,6294600
2018-04-03,24.320972442626953,24.320972442626953,24.403859083524647,24.09205137775968,24.28150376077754,7277400
2018-04-04,24.60515594482422,24.60515594482422,24.660412711042515,24.115736076427687,24.17099434827994,5217200
2018-04-05,24.628833770751953,24.628833770751953,24.648568111587153,24.41569927621094,24.644620340039896,3365500
2018-04-06,24.376230239868164,24.376230239868164,24.73934845204253,24.320973480667096,24.55779009877223,5657600
2018-04-09,24.368335723876953,24.368335723876953,24.581468705496825,24.30913119776198,24.423592478579646,3302000
2018-04-10,24.20256233215332,24.20256233215332,24.534104343784197,24.10783690347795,24.534104343784197,6040300
2018-04-11,24.265714645385742,24.265714645385742,24.48674316891344,24.13151902496422,24.13151902496422,2896700
2018-04-12,23.981542587280273,23.981542587280273,24.39991764946564,23.92628581608551,24.328872799176914,2634500
2018-04-13,24.107839584350586,24.107839584350586,24.147308266415447,23.957855882363425,23.989430526888576,3011700
2018-04-16,24.218351364135742,24.218351364135742,24.317024567864696,24.068367672890325,24.170988647923252,2515300
2018-04-17,24.542001724243164,24.542001724243164,24.684091392249183,24.200987725535715,24.289398539180795,2845800
2018-04-18,24.478849411010742,24.478849411010742,24.628833107459613,24.478849411010742,24.573574846722074,2118000
2018-04-19,24.068370819091797,24.068370819091797,24.41570096319789,23.926281146246858,24.39201884917913,2723000
